Statements,True_Results,Predicted_Results,Error
"What we have now is the most generous, in my opinion, good time bill in the entire United States.",FAKE,REAL,False Positive
There is no Plan B if the transportation referendum is not passed by voters.,FAKE,REAL,False Positive
"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""",FAKE,REAL,False Positive
"Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.",FAKE,REAL,False Positive
"Carly Fiorina, shes against banning assault weapons.",REAL,FAKE,False Negative
"Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.",FAKE,REAL,False Positive
Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.,REAL,FAKE,False Negative
Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.,FAKE,REAL,False Positive
Says Lee Leffingwell raised property taxes 20 percent in three years.,REAL,FAKE,False Negative
"8 years of the Clintons, major losses for Democrats across the nation.",REAL,FAKE,False Negative
Says a highway was closed in El Paso because of bullets flying across the border.,REAL,FAKE,False Negative
Jim Renacci voted repeatedly to end Medicare.,FAKE,REAL,False Positive
"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.",REAL,FAKE,False Negative
Health insurance companies pay CEOs $24 million a year,FAKE,REAL,False Positive
Says Donald Trump wants to deport our Dreamers.,REAL,FAKE,False Negative
The majority of Americans are conservatives.,REAL,FAKE,False Negative
Obama has racked up more debt than any president in history over $5 trillion.,REAL,FAKE,False Negative
Says Arizona congressional candidate Ray Strauss is a Champion of Big Government for his votes to raise taxes while on the local city council.,REAL,FAKE,False Negative
The No. 1 issue that the American people care about is getting America back to work.,REAL,FAKE,False Negative
Says in 1944 we were in debt more than twice as much as we are now.,FAKE,REAL,False Positive
Says Ronda Storms voted to fund the Taj Mahal courthouse.,REAL,FAKE,False Negative
"One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.",REAL,FAKE,False Negative
"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas.",FAKE,REAL,False Positive
"Weve got a 1,000 National Guard troop request thats been in front of this president for over a year and no response.",REAL,FAKE,False Negative
"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care",FAKE,REAL,False Positive
Says veterans disability claims backlog doubled in Obamas first term.,REAL,FAKE,False Negative
"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition.",FAKE,REAL,False Positive
Says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument.,FAKE,REAL,False Positive
Members of Congress receive full pay retirement after serving one term.,FAKE,REAL,False Positive
"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than $2 billion.",REAL,FAKE,False Negative
Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,FAKE,REAL,False Positive
"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores.",REAL,FAKE,False Negative
David Perdue said hed raise taxes.,REAL,FAKE,False Negative
Says Every legislative district in the state has at least one craft brewery and countless home brewers.,FAKE,REAL,False Positive
"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",FAKE,REAL,False Positive
"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",REAL,FAKE,False Negative
"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",FAKE,REAL,False Positive
The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,REAL,FAKE,False Negative
"Deregulation of the states telecommunications industry will create 50,000 jobs in Wisconsin.",FAKE,REAL,False Positive
"We admit about 100,000 permanent immigrants from the Middle East every year.",REAL,FAKE,False Negative
Says paid family leave is a program that is standard in all but five nations around the world.,REAL,FAKE,False Negative
"Says in the last 20 years, the French have not stood by the United States on foreign policy.",FAKE,REAL,False Positive
"Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.",FAKE,REAL,False Positive
"Barack Obama ""passed laws moving people from welfare to work.""",REAL,FAKE,False Negative
Says President Barack Obama promised a pathway to citizenship to undocumented immigrants and didnt deliver jack squat on any of it.,REAL,FAKE,False Negative
The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,REAL,FAKE,False Negative
"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico.",FAKE,REAL,False Positive
"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.",REAL,FAKE,False Negative
Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.,REAL,FAKE,False Negative
The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',REAL,FAKE,False Negative
"Our veterans, in many cases, are being treated worse than illegal immigrants.",FAKE,REAL,False Positive
Says Paul Ryan tried to change the whole game for Social Security,REAL,FAKE,False Negative
"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.",REAL,FAKE,False Negative
Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,REAL,FAKE,False Negative
Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,FAKE,REAL,False Positive
Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.,FAKE,REAL,False Positive
"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.",FAKE,REAL,False Positive
"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.",REAL,FAKE,False Negative
"They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days.",REAL,FAKE,False Negative
The city of Atlanta has either the highest or second-highest average water bills in the country.,REAL,FAKE,False Negative
Roy Coopers refusal to do his job is costing taxpayers money.,FAKE,REAL,False Positive
"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.",REAL,FAKE,False Negative
We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.,REAL,FAKE,False Negative
"Barack Obama wants to ""unilaterally disarm our nation.""",FAKE,REAL,False Positive
Milwaukees problems include 52 percent black male unemployment.,FAKE,REAL,False Positive
Job growth in the United States is now at the fastest pace in this countrys history.,FAKE,REAL,False Positive
"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.",REAL,FAKE,False Negative
Says he was known as Veto Corleone for cutting spending as Florida governor.,REAL,FAKE,False Negative
The State of Rhode Island has the worst state-funded pension in the country.,FAKE,REAL,False Positive
(John McCain) was even mentioned as a running mate with John Kerry.,REAL,FAKE,False Negative
I've cast a couple of 99-1 votes and been the lone dissenter.,REAL,FAKE,False Negative
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,FAKE,REAL,False Positive
"Under New York Mayor Bill de Blasio, homicides are up by 20 percent, and subway delays have soared 45 percent.",FAKE,REAL,False Positive
And delivered more tax relief than the other Republicans combined.,REAL,FAKE,False Negative
"Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, ""but now he is standing in the way of reforms that would assure these bailouts would never happen again.",FAKE,REAL,False Positive
Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama.,REAL,FAKE,False Negative
